position_id,strategy,type,direction,entry_time,exit_time,entry_price,exit_price,stop_loss,target_price,pnl,pnl_percentage,exit_reason,holding_time_seconds
pos_20251118_124612,trend_follow,bearish_trend,short,2025-11-03 18:45:00,2025-11-04 00:30:00,3638.99,3592.8206428571425,3689.860357142857,3537.249285714285,0.005406058393589251,0.012687409732606379,stop_loss,20700.0
pos_20251118_124613,trend_follow,bearish_trend,short,2025-11-04 09:30:00,2025-11-04 14:45:00,3489.05,3533.8410714285715,3533.8410714285715,3399.4678571428576,-0.007168591526961775,-0.012837612366853808,stop_loss,18900.0
pos_20251118_124615,trend_follow,bearish_trend,short,2025-11-05 01:15:00,2025-11-05 02:30:00,3222.86,3285.4046428571432,3285.4046428571432,3097.770714285714,-0.012605612020216535,-0.01940656524240678,stop_loss,4500.0
pos_20251118_124616,trend_follow,bullish_trend,long,2025-11-05 05:45:00,2025-11-05 08:15:00,3332.13,3293.381785714286,3293.381785714286,3409.6264285714287,-0.0043601998097671565,-0.011628662232780328,stop_loss,9000.0
pos_20251118_124624,trend_follow,bearish_trend,short,2025-11-07 13:15:00,2025-11-07 14:30:00,3228.75,3264.8164285714283,3264.8164285714283,3156.6171428571433,-0.013031425784785184,-0.011170399867263904,stop_loss,4500.0
pos_20251118_124625,trend_follow,bullish_trend,long,2025-11-07 17:15:00,2025-11-07 19:30:00,3329.66,3439.5028571428566,3274.7385714285715,3439.5028571428566,0.02842173175476801,0.03298921125365854,take_profit,8100.0
pos_20251118_124640,trend_follow,bullish_trend,long,2025-11-09 16:00:00,2025-11-09 21:15:00,3513.78,3587.3399999999997,3477.0000000000005,3587.3399999999997,0.02559521555086858,0.020934719874323233,take_profit,18900.0
pos_20251118_124707,trend_follow,bearish_trend,short,2025-11-12 19:30:00,2025-11-12 21:00:00,3384.76,3426.949642857143,3426.949642857143,3300.380714285715,-0.012725298429454914,-0.012464589175345559,stop_loss,5400.0
pos_20251118_124718,trend_follow,bearish_trend,short,2025-11-13 22:00:00,2025-11-13 22:45:00,3177.73,3227.0392857142856,3227.0392857142856,3079.111428571429,-0.010032865901709495,-0.015517141391586314,stop_loss,2700.0
pos_20251118_124722,trend_follow,bullish_trend,long,2025-11-14 08:45:00,2025-11-14 09:45:00,3203.28,3155.044285714286,3155.044285714286,3299.7514285714283,-0.01153776827514424,-0.015058226032602219,stop_loss,3600.0
pos_20251118_124724,trend_follow,bearish_trend,short,2025-11-14 13:30:00,2025-11-14 14:30:00,3103.08,3150.1896428571426,3150.1896428571426,3008.8607142857145,-0.01471468314169722,-0.015181575356466066,stop_loss,3600.0
pos_20251118_124725,trend_follow,bearish_trend,short,2025-11-14 13:45:00,2025-11-14 14:30:00,3087.3,3136.292142857143,3136.292142857143,2989.3157142857144,-0.01673248737123485,-0.015868928467315416,stop_loss,2700.0
pos_20251118_124725,trend_follow,bullish_trend,long,2025-11-14 15:45:00,2025-11-14 20:30:00,3204.38,3140.2896,3140.2896,3332.5608,-0.015483745935946834,-0.020000873803980815,stop_loss,17100.0
pos_20251118_124726,trend_follow,bullish_trend,long,2025-11-14 16:00:00,2025-11-14 20:30:00,3195.44,3131.532,3131.532,3323.256,-0.014705875116348816,-0.01999974964324159,stop_loss,16200.0
pos_20251118_124727,trend_follow,bullish_trend,long,2025-11-14 19:15:00,2025-11-14 20:30:00,3190.88,3142.73,3142.73,3287.1800000000003,-0.010343850223126852,-0.01508988116130976,stop_loss,4500.0
pos_20251118_124754,trend_follow,bearish_trend,short,2025-11-16 21:00:00,2025-11-17 01:15:00,3088.34,3136.7514285714287,3136.7514285714287,2991.517142857143,-0.005173716459613612,-0.01567555015685727,stop_loss,15300.0
pos_20251118_124756,trend_follow,bullish_trend,long,2025-11-17 00:45:00,2025-11-17 13:00:00,3123.88,3182.03375,3075.9475,3219.745,0.01432193948992636,0.018615871928499155,stop_loss,44100.0
pos_20251118_124757,trend_follow,bullish_trend,long,2025-11-17 02:15:00,2025-11-17 13:00:00,3150.0,3181.193214285714,3100.3864285714285,3249.227142857143,0.006399366150555015,0.009902607709750483,stop_loss,38700.0
pos_20251118_124804,trend_follow,bearish_trend,short,2025-11-17 15:15:00,2025-11-17 16:45:00,3135.0,3122.0922142857144,3182.0314285714285,3040.937142857143,0.0032803191714212837,0.004117316017315993,stop_loss,5400.0
pos_20251118_124805,trend_follow,bearish_trend,short,2025-11-17 17:15:00,2025-11-17 19:30:00,3113.93,2989.3788,3176.2056,2989.3788,0.025441902637957977,0.039998073174413,take_profit,8100.0
pos_20251118_124811,trend_follow,bearish_trend,short,2025-11-18 03:30:00,2025-11-18 03:30:00,2964.54,3012.4542857142856,3012.4542857142856,2868.7114285714288,-0.01057147333517212,-0.016162468954470374,stop_loss,0.0
pos_20251118_124808,trend_follow,bearish_trend,short,2025-11-17 21:45:00,2025-11-18 04:45:00,2996.54,2971.59,3042.2385714285715,2905.142857142857,0.0036979174914893048,0.008326269630974329,end_of_data,25200.0
pos_20251118_124812,trend_follow,bearish_trend,short,2025-11-18 04:45:00,2025-11-18 04:45:00,2974.23,2971.59,3025.675714285714,2871.338571428572,0.0006657878466452175,0.0008876246961397984,end_of_data,0.0
